date,yt_pred_time_trend_1_dummy,yt_pred_time_trend_2_dummy,yt_pred_time_trend_3_dummy,yt_true,yt_pred_time_trend_3_fourier,yt_pred_mlp_8
1946-01-01,1095.0249999999996,1444.1986161805128,1197.3892389014338,890,1138.240263583135,
1946-02-01,1077.3934210526313,1417.7272045877332,1182.2558001361942,992,1250.6692805200846,
1946-03-01,1214.077631578947,1545.5715803337591,1321.1474334396992,979,1282.004688094218,
1946-04-01,1322.1302631578942,1644.7843762768816,1431.116770390896,959,1425.2150843147783,
1946-05-01,1385.0249999999996,1698.8392767431951,1495.6374952003127,1110,1564.7241622380218,
1946-06-01,1539.498684210526,1844.4731228817673,1651.4464499732103,1546,1531.9319146678758,
1946-07-01,1929.7092105263157,2225.8438084213494,2042.701529446433,1539,2199.8856639478417,
1946-08-01,3034.498684210526,3321.793435276575,3148.244838883137,3401,2989.310342888405,
1946-09-01,2284.7092105263155,2563.1641266766246,2398.918483546481,2092,2535.851832234697,
1946-10-01,1815.656578947368,2085.2716571630012,1930.0382529101496,1436,1845.181241588009,
1946-11-01,1636.1302631578944,1896.9055003584504,1750.393620658353,1301,1778.8667492289198,
1946-12-01,1397.603947368421,1649.5393429107305,1511.4582710016173,1287,1539.9901752271924,
1947-01-01,1220.8175438596486,1464.404198859502,1362.532522178096,1488,1302.454767202872,
1947-02-01,1203.1859649122805,1438.914991556775,1344.9249807775254,1517,1412.4301273552333,1260.8287581197685
1947-03-01,1339.870175438596,1567.7415715928537,1481.3748133795814,1707,1441.3439891327448,1360.0203665067072
1947-04-01,1447.9228070175434,1667.9365718260287,1588.934651563211,1729,1582.16495054465,1434.9276830258295
1947-05-01,1510.8175438596486,1722.9736765823943,1651.078179538943,1788,1719.316704647205,1488.115979613748
1947-06-01,1665.291228070175,1869.5897270110197,1804.5422394120385,2008,1684.1992442443373,1665.903380475544
1947-07-01,2055.5017543859644,2251.942616840654,2193.48472591934,2203,2349.8598916795477,1959.1560238786858
1947-08-01,3160.291228070175,3348.8744479859324,3296.747744324006,3713,3137.0235797633227,2746.777458137372
1947-09-01,2410.5017543859644,2591.2273436760343,2545.1733998891937,2946,2681.336189240793,2630.703128844552
1947-10-01,1941.4491228070171,2114.3170784524636,2074.077482088588,2082,1988.4688297132495,2093.5975277327284
1947-11-01,1761.9228070175436,1926.9331259379655,1892.249464606399,2033,1919.989679461272,1741.7666614193508
1947-12-01,1523.39649122807,1680.5491727802978,1651.1630316531532,1937,1678.9805585546226,1677.8859347553464
1948-01-01,1346.6100877192978,1496.3962330191223,1500.118501467004,1711,1439.3447146133472,1753.5357886832237
1948-02-01,1328.9785087719297,1471.889230006448,1480.4244806376878,1775,1547.2517498367197,1739.437567935572
1948-03-01,1465.662719298245,1601.698014332579,1614.82013574488,1902,1574.1293976732095,1888.1827194795083
1948-04-01,1573.7153508771926,1702.875218855807,1720.3580983675283,1846,1712.9462561320593,1983.316236258442
1948-05-01,1636.6100877192978,1758.8945279022255,1780.512052716161,2083,1848.126018269526,1983.9057651298165
1948-06-01,1791.0837719298245,1906.4927826209027,1932.0188408960385,2262,1811.068676889536,2158.206630463098
1948-07-01,2181.2942982456134,2289.82787674059,2319.036357644005,2193,2474.8215543355914,2554.716004430552
1948-08-01,3286.0837719298243,3387.741912175921,3420.4067082232177,3792,3260.109583418178,3127.6382010032016
1948-09-01,2536.2942982456134,2631.0770121560754,2666.971997896835,2343,2802.5786448824265,3252.5870748991897
1948-10-01,2067.2416666666663,2155.1489512225576,2194.0480161385403,2313,2107.8998483296277,2329.5981921141965
1948-11-01,1887.7153508771928,1968.747202998112,2010.4242366325443,2179,2037.6413720403616,2212.224623916176
1948-12-01,1649.1890350877188,1723.3454541304968,1767.574343589374,1975,1794.88503608439,2040.1687921261073
1949-01-01,1472.402631578947,1540.174718659374,1614.7986552471823,1880,1553.5340880817594,1933.9856433428845
1949-02-01,1454.7710526315786,1516.6499199367522,1593.4057781957056,1930,1659.7581302317435,1924.1423549711633
1949-03-01,1591.4552631578945,1647.4409085529358,1726.1348790146194,2060,1684.9848959828114,2053.1856895118212
1949-04-01,1699.5078947368415,1749.600317366216,1830.0385892828713,1843,1822.1829833442057,2121.5484272168123
1949-05-01,1762.402631578947,1806.6018307026875,1888.59059321099,2052,1955.776085372184,2138.687668806007
1949-06-01,1916.8763157894732,1955.1822897114173,2038.5277329042356,2039,1917.164194870672,2266.962148436801
1949-07-01,2307.086842105263,2339.499588121157,2424.007903099452,2351,2579.3946341831725,2466.5137574813493
1949-08-01,3411.876315789473,3438.3958278465407,3523.873209059798,3394,3363.19233612017,3112.618594561917
1949-09-01,2662.086842105263,2682.713132116748,2768.9657560484284,3581,2904.2031814267966,2846.6459543004894
1949-10-01,2193.0342105263153,2207.767275473282,2294.6013335390303,2489,2208.0982797043425,2984.594223440351
1949-11-01,2013.5078947368415,2022.3477315388895,2109.569415215813,2468,2136.445809233388,2447.2105980837373
1949-12-01,1774.981578947368,1777.928186961327,1865.3436852893035,2134,1892.3275900836943,2239.3206142584313
1950-01-01,1598.195175438596,1595.7396557802567,1711.2244619976543,1903,1649.6468698753088,2070.482450931117
1950-02-01,1580.5635964912276,1573.1970613476874,1688.5203519306026,1719,1754.573250807504,2033.9567299616112
1950-03-01,1717.2478070175434,1704.9702542539237,1819.9705216678235,1617,1778.53446632875,2029.4061071961073
1950-04-01,1825.3004385964907,1808.1118673572569,1922.6276027882643,1818,1914.4991144482892,1992.4547221399062
1950-05-01,1888.195175438596,1866.0955849837808,1979.9652795024545,2067,2046.8908882223784,2110.0116713746493
1950-06-01,2042.6688596491224,2015.658248282563,2128.7203939156534,2457,2007.109780454945,2224.1421048950897
1950-07-01,2432.879385964912,2400.9577509823557,2513.0508407647058,2600,2668.2031134894896,2698.725168540335
